dt,winning_bid_max,winning_bid_min,winning_bid_mean,auction_trading_volume,auction_lots_count,all_auctions_lots_count,auction_name,auction_slug
2025-01-01,11064.6,10.6,263.94,211153.7,800,40090,Australian Whisky Auctions,australian-whisky-auctions
2025-01-01,6634.0,0.0,157.59,786858.8,4993,40090,Catawiki Whisky Auction,catawiki
2025-01-01,2321.4,4.2,200.41,9218.8,46,40090,Celtic Whiskey Auction,celtic-whiskey-auction
2025-01-01,2222.3,10.1,139.54,55816.5,400,40090,European Whisky Auctions,european-whisky-auctions
2025-01-01,9900.0,4.0,253.9,142691.5,562,40090,Highland Whisky Auctions,highland-whisky-auctions
2025-01-01,13000.0,0.0,176.86,208161.45,1177,40090,Just Whisky Auctions,just-whisky
2025-01-01,6000.0,15.0,422.83,127695.0,302,40090,McTear's Whisky Auction,mctears
2025-01-01,6600.0,4.0,272.5,53682.0,197,40090,Prestige Whisky Auction,prestige-whisky-auction
2025-01-01,6129.0,20.0,250.73,259256.0,1034,40090,Rum Auctioneer,rumauctioneer
2025-01-01,9329.1,10.8,447.65,31783.0,71,40090,RumTrades Auction,rum-trades-auction
2025-01-01,14500.0,10.0,201.1,851060.0,4232,40090,Scotch Whisky Auctions,scotchwhiskyauctions
2025-01-01,36879.3,287.2,2542.48,615279.5,242,40090,Sotheby's Whisky Auction,sothebys-whisky-auction
2025-01-01,4050.0,7.0,186.68,150278.0,805,40090,The Grand Whisky Auction,thegrandwhiskyauction
2025-01-01,9200.0,18.0,147.13,134473.0,914,40090,The Whisky Shop Auctions,the-whisky-shop-auctions
2025-01-01,52517.4,4.0,236.7,2814123.7,11889,40090,Unicorn Auctions,unicorn-auctions
2025-01-01,2683.6,18.4,243.76,76053.4,312,40090,Whiskey Bidders,whiskey-bidders
2025-01-01,10200.0,5.0,196.35,222072.0,1131,40090,Whisky.Auction,whiskyauction
2025-01-01,11360.8,0.8,152.87,1202921.5,7869,40090,WhiskyAuction.com,whiskyauctioncom
2025-01-01,85000.0,20.0,380.01,2977739.0,7836,7836,Whisky Auctioneer,whiskyauctioneer
2025-01-01,18700.0,20.0,264.92,369027.5,1393,40090,Whisky Hammer,whisky-hammer
2025-01-01,36100.0,10.0,231.81,165747.5,715,40090,Whisky-Online Auctions,whisky-online-auctions
2025-01-01,1492.7,11.6,183.59,15237.6,83,40090,WhiskyTrades Auction,whisky-trades-auction
2025-01-01,3400.0,2.5,213.39,196960.0,923,40090,WVA Whisky Auctions,wva-whisky-auctions
