Comune,CODISTAT,provincia,inizioIntervallo,fineIntervallo,classeEta,Target,Vaccinati
Comitini,084016,Agrigento,2021-01-02,2021-06-29,12-19,90,37
Comitini,084016,Agrigento,2021-01-02,2021-06-29,20-29,125,82
Comitini,084016,Agrigento,2021-01-02,2021-06-29,30-39,88,68
Comitini,084016,Agrigento,2021-01-02,2021-06-29,40-49,100,89
Comitini,084016,Agrigento,2021-01-02,2021-06-29,50-59,147,133
Comitini,084016,Agrigento,2021-01-02,2021-06-29,60-69,109,101
Comitini,084016,Agrigento,2021-01-02,2021-06-29,70-79,73,69
Comitini,084016,Agrigento,2021-01-02,2021-06-29,>80,70,70
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,12-19,99,39
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,20-29,221,149
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,30-39,233,132
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,40-49,178,123
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,50-59,280,231
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,60-69,235,209
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,70-79,141,140
Lucca Sicula,084022,Agrigento,2021-01-02,2021-06-29,>80,149,140
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,12-19,472,170
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,20-29,684,429
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,30-39,606,373
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,40-49,740,550
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,50-59,834,707
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,60-69,700,634
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,70-79,532,502
Sambuca di Sicilia,084034,Agrigento,2021-01-02,2021-06-29,>80,472,449
Burgio,084005,Agrigento,2021-01-02,2021-06-29,12-19,187,70
Burgio,084005,Agrigento,2021-01-02,2021-06-29,20-29,277,168
Burgio,084005,Agrigento,2021-01-02,2021-06-29,30-39,327,187
Burgio,084005,Agrigento,2021-01-02,2021-06-29,40-49,309,225
Burgio,084005,Agrigento,2021-01-02,2021-06-29,50-59,383,326
Burgio,084005,Agrigento,2021-01-02,2021-06-29,60-69,355,315
Burgio,084005,Agrigento,2021-01-02,2021-06-29,70-79,266,226
Burgio,084005,Agrigento,2021-01-02,2021-06-29,>80,257,250
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,12-19,3144,1301
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,20-29,4444,2803
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,30-39,4438,2750
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,40-49,5557,4014
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,50-59,5755,4546
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,60-69,4898,4352
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,70-79,4043,3635
Sciacca,084041,Agrigento,2021-01-02,2021-06-29,>80,2891,2828
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,12-19,158,62
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,20-29,264,154
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,30-39,267,140
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,40-49,260,167
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,50-59,340,273
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,60-69,320,269
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,70-79,216,197
Santa Elisabetta,084037,Agrigento,2021-01-02,2021-06-29,>80,155,142
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,12-19,212,70
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,20-29,359,184
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,30-39,387,241
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,40-49,347,221
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,50-59,536,387
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,60-69,482,384
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,70-79,357,326
Cianciana,084015,Agrigento,2021-01-02,2021-06-29,>80,322,310
Aragona,084003,Agrigento,2021-01-02,2021-06-29,12-19,753,296
Aragona,084003,Agrigento,2021-01-02,2021-06-29,20-29,1085,599
Aragona,084003,Agrigento,2021-01-02,2021-06-29,30-39,976,558
Aragona,084003,Agrigento,2021-01-02,2021-06-29,40-49,1239,830
Aragona,084003,Agrigento,2021-01-02,2021-06-29,50-59,1479,1129
Aragona,084003,Agrigento,2021-01-02,2021-06-29,60-69,1178,989
Aragona,084003,Agrigento,2021-01-02,2021-06-29,70-79,832,742
Aragona,084003,Agrigento,2021-01-02,2021-06-29,>80,629,617
Grotte,084018,Agrigento,2021-01-02,2021-06-29,12-19,428,181
Grotte,084018,Agrigento,2021-01-02,2021-06-29,20-29,574,312
Grotte,084018,Agrigento,2021-01-02,2021-06-29,30-39,613,326
Grotte,084018,Agrigento,2021-01-02,2021-06-29,40-49,744,504
Grotte,084018,Agrigento,2021-01-02,2021-06-29,50-59,768,596
Grotte,084018,Agrigento,2021-01-02,2021-06-29,60-69,719,556
Grotte,084018,Agrigento,2021-01-02,2021-06-29,70-79,562,505
Grotte,084018,Agrigento,2021-01-02,2021-06-29,>80,437,366
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,12-19,284,106
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,20-29,525,285
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,30-39,422,250
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,40-49,550,312
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,50-59,701,507
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,60-69,575,491
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,70-79,435,346
Santo Stefano Quisquina,084040,Agrigento,2021-01-02,2021-06-29,>80,448,406
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,12-19,200,65
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,20-29,288,150
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,30-39,318,178
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,40-49,374,232
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,50-59,468,338
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,60-69,444,336
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,70-79,336,290
San Biagio Platani,084035,Agrigento,2021-01-02,2021-06-29,>80,311,286
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,12-19,126,39
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,20-29,147,92
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,30-39,129,68
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,40-49,178,111
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,50-59,192,144
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,60-69,166,130
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,70-79,141,124
Villafranca Sicula,084043,Agrigento,2021-01-02,2021-06-29,>80,137,116
Montevago,084025,Agrigento,2021-01-02,2021-06-29,12-19,235,76
Montevago,084025,Agrigento,2021-01-02,2021-06-29,20-29,325,154
Montevago,084025,Agrigento,2021-01-02,2021-06-29,30-39,245,122
Montevago,084025,Agrigento,2021-01-02,2021-06-29,40-49,382,222
Montevago,084025,Agrigento,2021-01-02,2021-06-29,50-59,430,322
Montevago,084025,Agrigento,2021-01-02,2021-06-29,60-69,348,284
Montevago,084025,Agrigento,2021-01-02,2021-06-29,70-79,315,309
Montevago,084025,Agrigento,2021-01-02,2021-06-29,>80,260,226
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,12-19,178,70
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,20-29,273,149
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,30-39,259,112
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,40-49,293,141
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,50-59,423,286
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,60-69,407,339
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,70-79,296,236
Alessandria della Rocca,084002,Agrigento,2021-01-02,2021-06-29,>80,297,267
Bivona,084004,Agrigento,2021-01-02,2021-06-29,12-19,282,89
Bivona,084004,Agrigento,2021-01-02,2021-06-29,20-29,370,191
Bivona,084004,Agrigento,2021-01-02,2021-06-29,30-39,357,160
Bivona,084004,Agrigento,2021-01-02,2021-06-29,40-49,481,273
Bivona,084004,Agrigento,2021-01-02,2021-06-29,50-59,524,383
Bivona,084004,Agrigento,2021-01-02,2021-06-29,60-69,452,381
Bivona,084004,Agrigento,2021-01-02,2021-06-29,70-79,329,296
Bivona,084004,Agrigento,2021-01-02,2021-06-29,>80,322,275
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,12-19,538,56
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,20-29,746,485
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,30-39,876,572
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,40-49,935,617
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,50-59,1069,792
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,60-69,739,573
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,70-79,547,465
Lampedusa e Linosa,084020,Agrigento,2021-01-02,2021-06-29,>80,294,210
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,12-19,584,196
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,20-29,832,464
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,30-39,962,490
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,40-49,1013,628
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,50-59,1172,798
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,60-69,992,774
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,70-79,710,595
San Giovanni Gemini,084036,Agrigento,2021-01-02,2021-06-29,>80,668,604
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,12-19,63,19
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,20-29,119,49
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,30-39,111,55
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,40-49,127,65
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,50-59,173,122
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,60-69,183,147
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,70-79,135,111
Sant'Angelo Muxaro,084039,Agrigento,2021-01-02,2021-06-29,>80,178,145
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,12-19,503,182
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,20-29,692,376
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,30-39,779,386
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,40-49,784,500
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,50-59,969,645
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,60-69,789,612
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,70-79,452,403
Cammarata,084009,Agrigento,2021-01-02,2021-06-29,>80,433,407
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,12-19,558,170
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,20-29,740,393
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,30-39,670,328
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,40-49,872,481
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,50-59,921,655
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,60-69,770,599
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,70-79,599,545
Santa Margherita di Belice,084038,Agrigento,2021-01-02,2021-06-29,>80,498,467
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,12-19,233,83
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,20-29,365,199
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,30-39,343,165
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,40-49,379,229
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,50-59,520,357
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,60-69,458,341
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,70-79,382,292
Caltabellotta,084007,Agrigento,2021-01-02,2021-06-29,>80,410,325
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,12-19,589,183
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,20-29,784,409
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,30-39,844,411
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,40-49,1009,538
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,50-59,1218,816
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,60-69,1033,773
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,70-79,823,654
Casteltermini,084012,Agrigento,2021-01-02,2021-06-29,>80,605,560
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,12-19,804,218
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,20-29,1072,443
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,30-39,1035,469
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,40-49,1253,694
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,50-59,1444,1031
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,60-69,1142,907
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,70-79,923,801
Campobello di Licata,084010,Agrigento,2021-01-02,2021-06-29,>80,693,660
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,12-19,4277,1351
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,20-29,6549,2963
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,30-39,6673,3294
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,40-49,7681,4529
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,50-59,8794,6003
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,60-69,7478,5727
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,70-79,5539,4553
Agrigento,084001,Agrigento,2021-01-02,2021-06-29,>80,3768,3261
Menfi,084023,Agrigento,2021-01-02,2021-06-29,12-19,925,270
Menfi,084023,Agrigento,2021-01-02,2021-06-29,20-29,1368,652
Menfi,084023,Agrigento,2021-01-02,2021-06-29,30-39,1306,673
Menfi,084023,Agrigento,2021-01-02,2021-06-29,40-49,1770,1013
Menfi,084023,Agrigento,2021-01-02,2021-06-29,50-59,1776,1180
Menfi,084023,Agrigento,2021-01-02,2021-06-29,60-69,1521,1151
Menfi,084023,Agrigento,2021-01-02,2021-06-29,70-79,1257,1025
Menfi,084023,Agrigento,2021-01-02,2021-06-29,>80,956,824
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,12-19,76,21
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,20-29,105,53
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,30-39,124,56
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,40-49,134,80
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,50-59,178,112
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,60-69,160,117
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,70-79,128,96
Joppolo Giancaxio,084019,Agrigento,2021-01-02,2021-06-29,>80,105,79
Favara,084017,Agrigento,2021-01-02,2021-06-29,12-19,2911,860
Favara,084017,Agrigento,2021-01-02,2021-06-29,20-29,3995,2071
Favara,084017,Agrigento,2021-01-02,2021-06-29,30-39,4125,1935
Favara,084017,Agrigento,2021-01-02,2021-06-29,40-49,4699,2693
Favara,084017,Agrigento,2021-01-02,2021-06-29,50-59,4911,3338
Favara,084017,Agrigento,2021-01-02,2021-06-29,60-69,3726,2786
Favara,084017,Agrigento,2021-01-02,2021-06-29,70-79,2693,2252
Favara,084017,Agrigento,2021-01-02,2021-06-29,>80,1885,1626
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,12-19,1037,259
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,20-29,1478,652
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,30-39,1472,727
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,40-49,1711,954
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,50-59,1794,1230
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,60-69,1478,1100
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,70-79,1204,999
Raffadali,084030,Agrigento,2021-01-02,2021-06-29,>80,938,787
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,12-19,206,50
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,20-29,243,97
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,30-39,268,139
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,40-49,301,165
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,50-59,392,257
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,60-69,345,269
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,70-79,234,199
Montallegro,084024,Agrigento,2021-01-02,2021-06-29,>80,180,133
Ribera,084033,Agrigento,2021-01-02,2021-06-29,12-19,1433,372
Ribera,084033,Agrigento,2021-01-02,2021-06-29,20-29,2035,940
Ribera,084033,Agrigento,2021-01-02,2021-06-29,30-39,2017,832
Ribera,084033,Agrigento,2021-01-02,2021-06-29,40-49,2397,1274
Ribera,084033,Agrigento,2021-01-02,2021-06-29,50-59,2777,1854
Ribera,084033,Agrigento,2021-01-02,2021-06-29,60-69,2314,1690
Ribera,084033,Agrigento,2021-01-02,2021-06-29,70-79,1948,1567
Ribera,084033,Agrigento,2021-01-02,2021-06-29,>80,1346,1220
